'id_izdelka','ime_trgovine','ime_izdelka','firma','okus','redna_cena','teza'
5634180,lidl,'sok','sola','ledeni_caj_breskev',0.94,'1.5_l'
4168950,lidl,'sadje','-','lubenica',0.89,'1_kg'
4465786,lidl,'sadje','-','breskve',2.49,'1_kg'
8332751,lidl,'sadje','-','slive',1.99,'1_kg'
3272976,lidl,'sadje','derby','banane',1.28,'1_kg'
3296194,lidl,'sadje','-','marelice',2.49,'1_kg'
9788439,lidl,'sadje','-','nektarine',1.99,'1_kg'
9136265,lidl,'zelenjava','-','kumare',0.99,'1_kg'
9602477,lidl,'zelenjava','-','paradiznik',1.69,'1_kg'
2702226,lidl,'zelenjava','-','paprika_zelena',2.49,'1_kg'
2581357,lidl,'zelenjava','-','paprika_rdeca',2.49,'1_kg'
6205572,lidl,'zelenjava','-','cesen',1.99,'1_kg'
3247986,lidl,'sladoled','gelatelli','bourbon_vanilla',2.45,'2.5_l'
4115303,lidl,'sladoled','gelatelli','pasijonka',1.99,'1_l'
6832562,lidl,'sladoled','gelatelli','limona',1.99,'1_l'
7896311,lidl,'sladoled','gelatelli','crni_ribez',1.99,'1_l'
9374712,lidl,'sladoled','ljubljanske_mlekarne','vanilija_jagoda_cokolada_planica',2.99,'1_l'
4455001,lidl,'sladoled','ljubljanske_mlekarne','vanilija_jagoda_cokolada_planica',2.99,'1_l'
7626853,lidl,'cips','snack_day','paprika',0.59,'0.15_kg'
1559405,lidl,'cips','snack_day','slani',0.59,'0.15_kg'
5247303,lidl,'cips','snack_day','paprika_rebrasti',0.65,'0.15_kg'
1714980,lidl,'cips','snack_day','slani_rebrasti',0.65,'0.15_kg'
7241052,lidl,'namaz','ferrero','nutella',5.19,'0.75_kg'
